"ID","Time","PAffect","FocusImportantMoments","AllowFeelings","ObserveThoughtsDistance","SelfPole","ChoseValue","CommitAction"
7125,1,25.75,82,55,54,74,55,84
7125,2,NA,NA,NA,NA,NA,NA,NA
7125,3,37,75,82,52,78,54,66
7125,4,NA,NA,NA,NA,NA,NA,NA
7125,5,NA,NA,NA,NA,NA,NA,NA
7125,6,38,87,67,55,90,64,63
7125,7,29.75,81,15,18,42,49,45
7125,8,39.5,83,81,85,82,77,80
7125,9,35.75,78,55,81,79,53,53
7125,10,NA,NA,NA,NA,NA,NA,NA
7125,11,31.75,65,80,77,58,19,54
7125,12,32.75,67,95,63,44,56,75
7125,13,27.75,56,52,47,12,10,9
7125,14,24,68,27,25,52,89,90
7125,15,36,75,70,69,70,100,83
7125,16,NA,NA,NA,NA,NA,NA,NA
7125,17,39.75,66,64,72,55,74,55
7125,18,41.25,53,92,6,41,54,55
7125,19,35.5,89,53,40,40,80,54
7125,20,41.75,87,65,53,16,77,80
7125,21,43,85,53,53,73,73,77
7125,22,NA,NA,NA,NA,NA,NA,NA
7125,23,16,63,67,20,31,52,10
7125,24,54.25,89,40,68,32,84,99
7125,25,57.25,98,54,54,68,98,98
7125,26,35.25,96,71,55,78,76,79
7125,27,43.5,89,53,52,80,83,84
7125,28,NA,NA,NA,NA,NA,NA,NA
7125,29,25.25,87,80,8,32,53,65
7125,30,35.25,89,46,37,43,97,100
7125,31,NA,NA,NA,NA,NA,NA,NA
7125,32,NA,NA,NA,NA,NA,NA,NA
7125,33,55,94,78,83,53,96,94
7125,34,NA,NA,NA,NA,NA,NA,NA
7125,35,35.5,86,73,73,66,64,80
7125,36,49,100,68,78,53,98,98
7125,37,NA,NA,NA,NA,NA,NA,NA
7125,38,26,94,52,53,37,54,52
7125,39,55.75,98,53,53,75,98,99
7125,40,NA,NA,NA,NA,NA,NA,NA
7125,41,11.25,29,28,30,27,53,49
7125,42,NA,NA,NA,NA,NA,NA,NA
7127,1,36.25,66,60,53,54,56,61
7127,2,45.25,51,53,48,47,46,52
7127,3,NA,NA,NA,NA,NA,NA,NA
7127,4,NA,NA,NA,NA,NA,NA,NA
7127,5,NA,NA,NA,NA,NA,NA,NA
7127,6,44.25,48,47,60,60,53,62
7127,7,59.5,26,32,32,32,27,35
7127,8,73.75,66,68,55,64,62,57
7127,9,74.25,69,62,65,66,58,65
7127,10,NA,NA,NA,NA,NA,NA,NA
7127,11,55.25,34,34,37,38,38,36
7127,12,56.5,32,45,45,49,54,52
7127,13,NA,NA,NA,NA,NA,NA,NA
7127,14,37.25,41,42,49,49,53,51
7127,15,NA,NA,NA,NA,NA,NA,NA
7127,16,NA,NA,NA,NA,NA,NA,NA
7127,17,52.5,46,57,56,49,55,52
7127,18,50.5,31,49,43,44,51,47
7127,19,NA,NA,NA,NA,NA,NA,NA
7127,20,NA,NA,NA,NA,NA,NA,NA
7127,21,NA,NA,NA,NA,NA,NA,NA
7127,22,NA,NA,NA,NA,NA,NA,NA
7127,23,NA,NA,NA,NA,NA,NA,NA
7127,24,NA,NA,NA,NA,NA,NA,NA
7127,25,NA,NA,NA,NA,NA,NA,NA
7127,26,NA,NA,NA,NA,NA,NA,NA
7127,27,NA,NA,NA,NA,NA,NA,NA
7127,28,NA,NA,NA,NA,NA,NA,NA
7127,29,NA,NA,NA,NA,NA,NA,NA
7127,30,NA,NA,NA,NA,NA,NA,NA
7127,31,NA,NA,NA,NA,NA,NA,NA
7127,32,NA,NA,NA,NA,NA,NA,NA
7127,33,NA,NA,NA,NA,NA,NA,NA
7127,34,NA,NA,NA,NA,NA,NA,NA
7127,35,NA,NA,NA,NA,NA,NA,NA
7127,36,NA,NA,NA,NA,NA,NA,NA
7127,37,NA,NA,NA,NA,NA,NA,NA
7127,38,NA,NA,NA,NA,NA,NA,NA
7127,39,NA,NA,NA,NA,NA,NA,NA
7127,40,NA,NA,NA,NA,NA,NA,NA
7127,41,NA,NA,NA,NA,NA,NA,NA
7127,42,NA,NA,NA,NA,NA,NA,NA
7128,1,37.25,47,47,42,27,44,55
7128,2,55.25,62,64,64,62,53,55
7128,3,NA,NA,NA,NA,NA,NA,NA
7128,4,47.25,49,47,42,42,59,48
7128,5,56.25,50,53,55,56,49,65
7128,6,59.5,55,56,60,57,54,58
7128,7,61.75,54,54,53,58,53,52
7128,8,58,54,54,55,57,56,55
7128,9,NA,NA,NA,NA,NA,NA,NA
7128,10,59.75,69,65,71,60,62,65
7128,11,49.75,60,55,56,46,64,67
7128,12,74.25,56,58,55,54,60,57
7128,13,60,54,57,55,55,56,56
7128,14,53.75,69,75,44,38,64,66
7128,15,NA,NA,NA,NA,NA,NA,NA
7128,16,48,43,38,37,33,55,52
7128,17,59.5,53,56,54,44,43,46
7128,18,59.25,56,53,58,58,54,55
7128,19,53.25,54,53,54,55,56,64
7128,20,50.75,54,53,61,55,55,58
7128,21,NA,NA,NA,NA,NA,NA,NA
7128,22,48.5,54,53,61,56,55,55
7128,23,62.5,58,60,58,57,59,58
7128,24,54.5,56,57,53,54,57,54
7128,25,48,55,55,58,55,57,52
7128,26,47,51,52,53,58,51,51
7128,27,NA,NA,NA,NA,NA,NA,NA
7128,28,51.5,54,56,53,57,54,68
7128,29,51.5,55,54,55,58,54,57
7128,30,60.75,56,58,60,55,57,55
7128,31,50.5,56,53,56,53,56,52
7128,32,NA,NA,NA,NA,NA,NA,NA
7128,33,NA,NA,NA,NA,NA,NA,NA
7128,34,50.75,57,56,57,55,60,64
7128,35,47.5,56,56,56,56,59,57
7128,36,42.5,59,54,57,57,61,67
7128,37,55.25,57,53,56,54,58,55
7128,38,48.25,56,55,56,53,52,59
7128,39,NA,NA,NA,NA,NA,NA,NA
7128,40,44.5,58,58,58,56,58,68
7128,41,48,57,54,55,58,54,67
7128,42,48.75,58,53,59,57,56,58
7129,1,84,82,83,79,72,77,82
7129,2,NA,NA,NA,NA,NA,NA,NA
