"ID","Time","LifeSatisfaction","ConnectToPeople","StuckUnableChange","PaidAttToImport","HurtConnect","PersonalImpor","ExperienceRangeEmotions","StruggledToKeepDoing","NoMeaningfulChallenge","AbleToChangeBehavior","StuckToStrategies","NoOutletForFeelings","Complying","ThinkingHelpedLife","ThinkingGotInWay","HurtHealth","StruggledToConnectMoments","ImportantChallenge","HelpHealth"
"0BT5",1,29,26,16,74,1,67,72,26,1,64,33,71,28,20,73,87,63,95,57
"0BT5",2,39,73,36,59,1,22,58,7,76,44,45,63,5,64,13,12,49,12,18
"0BT5",3,14,14,65,96,1,23,34,56,75,47,65,79,76,60,31,18,66,27,64
"0BT5",4,13,9,30,23,1,1,13,64,85,25,83,11,24,100,11,3,10,74,56
"0BT5",5,26,75,71,29,3,67,55,67,73,21,29,66,10,45,14,68,10,30,29
"0BT5",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0BT5",7,1,8,74,15,37,36,55,77,98,26,31,71,24,63,59,13,54,25,16
"0BT5",8,24,5,20,79,1,33,14,74,85,30,10,11,2,72,3,1,1,12,93
"0BT5",9,19,13,69,12,66,19,59,17,58,23,25,63,80,19,33,66,25,15,14
"0BT5",10,30,63,6,58,16,74,26,2,1,72,31,29,79,62,23,5,8,76,77
"0BT5",11,25,12,33,25,3,14,44,66,89,28,60,36,77,62,18,17,66,14,36
"0BT5",12,24,14,14,34,74,18,63,25,65,30,76,37,13,40,67,19,60,64,63
"0BT5",13,54,75,17,66,2,68,77,5,3,77,76,22,27,72,21,4,15,77,70
"0BT5",14,50,31,1,71,13,85,71,5,2,91,60,63,11,62,13,1,42,100,100
"0BT5",15,58,48,3,75,7,67,39,7,1,86,72,19,2,72,15,1,35,98,100
"0BT5",16,34,58,10,63,17,66,53,8,2,75,81,17,15,63,15,4,16,90,100
"0BT5",17,61,20,8,69,11,69,37,2,14,77,72,11,13,67,15,1,27,78,97
"0BT5",18,63,56,7,72,10,64,24,5,11,79,75,14,8,76,12,1,12,98,87
"0BT5",19,69,34,1,81,6,68,75,1,1,83,88,41,5,97,4,7,21,100,100
